username,password,type
B,b,m
A,a,n
management,admin,m
user1,pass123,n
user2,pass123,n
user3,pass123,n
user4,pass123,n
user5,pass123,n
user6,pass123,n
user7,pass123,n
user8,pass123,n
user9,pass123,n
user10,pass123,n
user11,pass123,n
user12,pass123,n
user13,pass123,n
user14,pass123,n
user15,pass123,n
user16,pass123,n
user17,pass123,n
user18,pass123,n
user19,pass123,n
user20,pass123,n
user21,pass123,n
user22,pass123,n
user23,pass123,n
user24,pass123,n
user25,pass123,n
user26,pass123,n
user27,pass123,n
user28,pass123,n
user29,pass123,n
user30,pass123,n
user31,pass123,n
user32,pass123,n
user33,pass123,n
user34,pass123,n
user35,pass123,n
user36,pass123,n
user37,pass123,n
user38,pass123,n
user39,pass123,n
user40,pass123,n
user41,pass123,n
user42,pass123,n
user43,pass123,n
user44,pass123,n
user45,pass123,n
user46,pass123,n
user47,pass123,n
user48,pass123,n
user49,pass123,n
user50,pass123,n
user51,pass123,n
user52,pass123,n
user53,pass123,n
user54,pass123,n
user55,pass123,n
user56,pass123,n
user57,pass123,n
user58,pass123,n
user59,pass123,n
user60,pass123,n
user61,pass123,n
user62,pass123,n
user63,pass123,n
user64,pass123,n
user65,pass123,n
user66,pass123,n
user67,pass123,n
user68,pass123,n
user69,pass123,n
user70,pass123,n
user71,pass123,n
user72,pass123,n
user73,pass123,n
user74,pass123,n
user75,pass123,n
user76,pass123,n
user77,pass123,n
user78,pass123,n
user79,pass123,n
user80,pass123,n
user81,pass123,n
user82,pass123,n
user83,pass123,n
user84,pass123,n
user85,pass123,n
user86,pass123,n
user87,pass123,n
user88,pass123,n
user89,pass123,n
user90,pass123,n
user91,pass123,n
user92,pass123,n
user93,pass123,n
user94,pass123,n
user95,pass123,n
user96,pass123,n
user97,pass123,n
user98,pass123,n
user99,pass123,n
user100,pass123,n
